FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation
152124.453125,152324.734375,152495.859375,152634.171875,152463.578125,152510.609375,152716.25,152525.09375,4722.0,0.0
147621.75,147820.140625,147994.21875,148128.5,147960.421875,148005.484375,148210.40625,148021.125,4723.0,1.0
147621.75,147820.140625,147994.21875,148128.5,147960.421875,148005.484375,148210.40625,148021.125,4724.0,0.0
147509.890625,147707.84375,147882.1875,148016.75,147848.390625,147893.359375,148098.46875,147909.453125,4725.0,1.0
147509.890625,147707.84375,147882.1875,148016.75,147848.390625,147893.359375,148098.46875,147909.453125,4726.0,0.0
152117.390625,152317.671875,152488.4375,152627.109375,152456.96875,152503.546875,152708.828125,152518.390625,4727.0,1.0
152117.390625,152317.671875,152488.4375,152627.109375,152456.96875,152503.546875,152708.828125,152518.390625,4728.0,0.0
144705.375,144902.4375,145078.5625,145210.171875,145043.609375,145086.96875,145291.796875,145104.21875,4729.0,1.0
144705.375,144902.4375,145078.5625,145210.171875,145043.609375,145086.96875,145291.796875,145104.21875,4730.0,0.0
152050.25,152250.609375,152422.0,152560.140625,152389.8125,152436.046875,152641.671875,152450.609375,4731.0,1.0
152050.25,152250.609375,152422.0,152560.140625,152389.8125,152436.046875,152641.671875,152450.609375,4732.0,0.0
147742.171875,147940.296875,148114.5625,148249.109375,148081.203125,148125.546875,148330.921875,148141.640625,4733.0,1.0
147742.171875,147940.296875,148114.5625,148249.109375,148081.203125,148125.546875,148330.921875,148141.640625,4734.0,0.0
147435.25,147633.1875,147807.53125,147942.0,147773.828125,147818.703125,148023.625,147834.265625,4735.0,1.0
147435.25,147633.1875,147807.53125,147942.0,147773.828125,147818.703125,148023.625,147834.265625,4736.0,0.0
152238.71875,152439.265625,152610.46875,152748.609375,152578.46875,152625.140625,152830.59375,152639.71875,4737.0,1.0
152238.71875,152439.265625,152610.46875,152748.609375,152578.46875,152625.140625,152830.59375,152639.71875,4738.0,0.0
144792.375,144989.421875,145165.203125,145297.34375,145130.6875,145174.140625,145379.15625,145191.21875,4739.0,1.0
144792.375,144989.421875,145165.203125,145297.34375,145130.6875,145174.140625,145379.15625,145191.21875,4740.0,0.0
152078.421875,152278.953125,152449.90625,152587.671875,152417.53125,152464.03125,152669.9375,152478.953125,4741.0,1.0
152078.421875,152278.953125,152449.90625,152587.671875,152417.53125,152464.03125,152669.9375,152478.953125,4742.0,0.0
147986.53125,148184.5625,148358.546875,148493.203125,148325.203125,148369.640625,148575.09375,148385.8125,4743.0,1.0
147986.53125,148184.5625,148358.546875,148493.203125,148325.203125,148369.640625,148575.09375,148385.8125,4744.0,0.0
147508.5625,147706.765625,147880.9375,148015.40625,147846.96875,147891.484375,148096.9375,147907.765625,4745.0,1.0
147508.5625,147706.765625,147880.9375,148015.40625,147846.96875,147891.484375,148096.9375,147907.765625,4746.0,0.0
152501.125,152702.03125,152872.625,153011.734375,152840.703125,152887.546875,153093.28125,152902.125,4747.0,1.0
152501.125,152702.03125,152872.625,153011.734375,152840.703125,152887.546875,153093.28125,152902.125,4748.0,0.0
145008.375,145205.171875,145380.9375,145513.265625,145345.984375,145389.703125,145595.0625,145406.6875,4749.0,1.0
145008.375,145205.171875,145380.9375,145513.265625,145345.984375,145389.703125,145595.0625,145406.6875,4750.0,0.0
152230.765625,152431.65625,152602.4375,152740.75,152570.328125,152617.09375,152822.734375,152631.84375,4751.0,1.0
152230.765625,152431.65625,152602.4375,152740.75,152570.328125,152617.09375,152822.734375,152631.84375,4752.0,0.0
148347.8125,148547.109375,148720.296875,148855.734375,148686.765625,148731.734375,148936.75,148747.375,4753.0,1.0
148347.8125,148547.109375,148720.296875,148855.734375,148686.765625,148731.734375,148936.75,148747.375,4754.0,0.0
147716.609375,147914.90625,148088.625,148223.28125,148055.09375,148099.890625,148304.8125,148116.171875,4755.0,1.0
147716.609375,147914.90625,148088.625,148223.28125,148055.09375,148099.890625,148304.8125,148116.171875,4756.0,0.0
152895.234375,153095.953125,153265.921875,153405.390625,153234.53125,153281.65625,153487.203125,153295.78125,4757.0,1.0
152895.234375,153095.953125,153265.921875,153405.390625,153234.53125,153281.65625,153487.203125,153295.78125,4758.0,0.0
145342.578125,145539.8125,145715.328125,145847.828125,145680.984375,145724.703125,145929.265625,145741.25,4759.0,1.0
145342.578125,145539.8125,145715.328125,145847.828125,145680.984375,145724.703125,145929.265625,145741.25,4760.0,0.0
152446.765625,152647.140625,152818.4375,152957.109375,152785.984375,152832.828125,153038.28125,152847.578125,4761.0,1.0
152446.765625,152647.140625,152818.4375,152957.109375,152785.984375,152832.828125,153038.28125,152847.578125,4762.0,0.0
148745.953125,148944.515625,149117.796875,149253.6875,149084.625,149129.859375,149335.234375,149145.78125,4763.0,1.0
148745.953125,148944.515625,149117.796875,149253.6875,149084.625,149129.859375,149335.234375,149145.78125,4764.0,0.0
147850.453125,148048.9375,148222.734375,148357.390625,148188.859375,148233.734375,148438.921875,148249.65625,4765.0,1.0
147850.453125,148048.9375,148222.734375,148357.390625,148188.859375,148233.734375,148438.921875,148249.65625,4766.0,0.0
153169.8125,153371.234375,153541.296875,153680.5,153509.546875,153556.765625,153761.953125,153570.890625,4767.0,1.0
153169.8125,153371.234375,153541.296875,153680.5,153509.546875,153556.765625,153761.953125,153570.890625,4768.0,0.0
145604.8125,145801.859375,145977.640625,146110.046875,145942.6875,145986.40625,146191.5,146003.296875,4769.0,1.0
145604.8125,145801.859375,145977.640625,146110.046875,145942.6875,145986.40625,146191.5,146003.296875,4770.0,0.0
152613.515625,152814.140625,152984.46875,153123.578125,152952.8125,152999.75,153204.859375,153014.15625,4771.0,1.0
152613.515625,152814.140625,152984.46875,153123.578125,152952.8125,152999.75,153204.859375,153014.15625,4772.0,0.0
149068.703125,149267.546875,149441.0,149576.09375,149407.203125,149452.625,149657.984375,149468.171875,4773.0,1.0
149068.703125,149267.546875,149441.0,149576.09375,149407.203125,149452.625,149657.984375,149468.171875,4774.0,0.0
147920.8125,148119.296875,148293.1875,148427.578125,148259.3125,148304.28125,148509.109375,148319.921875,4775.0,1.0
147920.8125,148119.296875,148293.1875,148427.578125,148259.3125,148304.28125,148509.109375,148319.921875,4776.0,0.0
153371.515625,153572.3125,153742.375,153881.75,153710.625,153757.84375,153963.5625,153772.046875,4777.0,1.0
153371.515625,153572.3125,153742.375,153881.75,153710.625,153757.84375,153963.5625,153772.046875,4778.0,0.0
145739.015625,145935.984375,146111.484375,146244.15625,146076.609375,146120.78125,146325.796875,146137.40625,4779.0,1.0
