Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
217317.703125,656813.3125,426187.53125,442654.3125,316478.625,223932.84375,208028.40625,220189.375,-0.197998046875
217483.734375,657179.5625,426680.34375,442754.1875,316802.90625,223943.65625,208080.984375,220278.953125,-0.196044921875
217154.453125,656769.375,425923.59375,442352.3125,316392.90625,223858.09375,207909.765625,219965.578125,-0.1953125
216800.578125,656094.75,424978.3125,441990.9375,315836.6875,223793.28125,207761.625,219700.84375,-0.19384765625
216886.046875,655973.125,425057.15625,442107.34375,315863.25,223834.5,207838.421875,219832.546875,-0.19287109375
217302.421875,656496.625,426040.625,442510.8125,316444.46875,223927.125,208039.3125,220185.796875,-0.19091796875
217457.546875,656840.75,426525.21875,442596.84375,316762.5,223933.109375,208080.453125,220258.921875,-0.190673828125
217109.75,656414.0625,425757.9375,442180.90625,316340.15625,223828.234375,207886.875,219926.421875,-0.193603515625
216724.671875,655709.9375,424784.65625,441790.28125,315754.78125,223734.265625,207706.1875,219633.265625,-0.194091796875
216818.8125,655596.4375,424868.9375,441913.0625,315790.8125,223794.265625,207792.375,219775.859375,-0.19384765625
217215.25,656100.4375,425832.59375,442295.8125,316349.96875,223862.921875,207965.921875,220110.421875,-0.19482421875
217398.796875,656473.25,426354.53125,442415.15625,316698.84375,223899.140625,208034.3125,220222.625,-0.19580078125
217135.859375,656145.6875,425687.90625,442086.5,316370.90625,223870.703125,207916.203125,219980.25,-0.19873046875
216821.140625,655524.6875,424791.34375,441767.9375,315859.65625,223855.0625,207810.609375,219760.65625,-0.202392578125
216901.703125,655403.0,424856.25,441877.125,315877.90625,223896.625,207880.171875,219889.234375,-0.204345703125
217318.6875,655927.1875,425838.65625,442283.03125,316457.4375,223988.546875,208081.421875,220247.21875,-0.2060546875
217503.859375,656316.4375,426369.75,442401.84375,316806.40625,224011.078125,208142.9375,220352.890625,-0.207763671875
217172.15625,655918.875,425631.59375,442002.09375,316403.53125,223910.21875,207953.484375,220035.765625,-0.208740234375
216809.15625,655251.5,424683.25,441640.375,315842.78125,223840.65625,207799.34375,219768.078125,-0.208984375
216876.390625,655109.8125,424729.21875,441740.9375,315843.3125,223870.4375,207860.421875,219884.671875,-0.20947265625
217300.09375,655631.3125,425709.5625,442152.21875,316419.28125,223958.59375,208058.0,220242.03125,-0.208984375
217475.875,656004.625,426224.1875,442258.4375,316746.0625,223963.6875,208102.265625,220331.34375,-0.208984375
217148.1875,655610.5,425486.75,441860.46875,316338.09375,223863.453125,207916.734375,220010.828125,-0.2080078125
216788.328125,654942.0,424532.25,441495.6875,315770.625,223794.4375,207764.65625,219736.703125,-0.202392578125
216864.859375,654812.375,424578.46875,441604.59375,315773.46875,223833.328125,207836.8125,219854.984375,-0.19873046875
217284.359375,655334.0625,425551.75,442010.25,316341.21875,223922.640625,208035.5625,220203.234375,-0.195556640625
217459.6875,655708.0625,426078.625,442120.46875,316681.84375,223933.28125,208091.171875,220298.71875,-0.193603515625
217135.5,655318.9375,425358.28125,441728.4375,316288.46875,223837.53125,207915.765625,219985.4375,-0.19091796875
216779.203125,654655.875,424406.8125,441360.78125,315723.59375,223772.796875,207763.765625,219710.328125,-0.191162109375
216851.1875,654516.125,424447.3125,441464.21875,315725.8125,223820.90625,207835.375,219829.953125,-0.1875
217274.609375,655048.6875,425436.96875,441886.6875,316312.5,223924.4375,208048.34375,220199.921875,-0.186279296875
217450.75,655422.3125,425965.625,441998.71875,316649.9375,223941.15625,208099.3125,220295.234375,-0.18408203125
217136.75,655045.6875,425254.21875,441615.40625,316263.53125,223858.90625,207923.625,219989.640625,-0.185546875
216776.171875,654376.3125,424298.4375,441246.625,315696.78125,223803.203125,207765.828125,219713.8125,-0.18310546875
216844.65625,654229.625,424330.8125,441347.65625,315692.75,223863.734375,207839.21875,219829.953125,-0.181884765625
217259.765625,654746.75,425298.09375,441753.28125,316258.6875,223960.015625,208037.0,220180.609375,-0.1796875
217447.078125,655144.0625,425841.78125,441874.6875,316607.46875,223978.4375,208091.359375,220283.6875,-0.177490234375
217129.5,654775.6875,425134.03125,441488.1875,316219.34375,223885.8125,207909.234375,219974.96875,-0.17431640625
216760.96875,654095.3125,424174.625,441119.125,315645.71875,223826.453125,207752.40625,219695.21875,-0.172119140625
216826.328125,653940.4375,424198.5,441219.4375,315633.46875,223878.84375,207822.6875,219808.859375,-0.173095703125
217248.328125,654467.6875,425172.125,441633.75,316205.3125,223980.21875,208028.953125,220169.796875,-0.174560546875
217437.609375,654866.5625,425723.0625,441761.15625,316559.375,223995.875,208088.3125,220278.15625,-0.174560546875
217122.53125,654494.9375,425025.25,441381.09375,316175.71875,223903.78125,207912.625,219973.1875,-0.176025390625
216759.8125,653818.3125,424068.59375,441015.40625,315609.5,223839.40625,207758.484375,219699.421875,-0.178466796875
216820.421875,653658.8125,424079.9375,441107.5,315593.5,223874.28125,207819.734375,219806.96875,-0.18017578125
217238.3125,654169.875,425044.0,441523.78125,316165.53125,223967.34375,208025.28125,220165.9375,-0.181640625
217428.21875,654565.3125,425596.71875,441652.15625,316523.0625,223974.140625,208081.609375,220271.09375,-0.182373046875
217122.265625,654207.3125,424908.03125,441277.71875,316147.8125,223879.46875,207908.6875,219966.484375,-0.183349609375
216759.359375,653538.0625,423947.25,440910.34375,315576.96875,223806.78125,207752.859375,219686.1875,-0.183349609375
216816.671875,653373.8125,423947.6875,440999.59375,315554.6875,223836.015625,207814.734375,219790.34375,-0.18310546875
217233.125,653888.625,424909.625,441413.71875,316124.3125,223922.296875,208017.0625,220148.25,-0.1845703125
217420.4375,654282.8125,425466.1875,441543.8125,316481.75,223925.859375,208069.359375,220255.0,-0.185302734375
217111.71875,653922.125,424779.53125,441170.4375,316108.5,223830.828125,207895.546875,219952.0,-0.18603515625
216746.578125,653245.3125,423811.90625,440797.78125,315530.84375,223759.5625,207737.84375,219669.828125,-0.187255859375
216799.234375,653073.5625,423803.3125,440883.96875,315499.34375,223795.78125,207799.96875,219774.515625,-0.188720703125
217212.296875,653576.5,424756.5625,441296.0625,316060.125,223887.6875,208003.203125,220132.859375,-0.18896484375
217412.828125,653978.375,425320.46875,441435.4375,316422.84375,223901.015625,208065.609375,220248.828125,-0.1875
217106.890625,653617.4375,424635.875,441063.875,316048.5,223809.375,207891.703125,219949.40625,-0.189453125
216741.203125,652940.625,423662.0625,440692.75,315470.46875,223745.53125,207735.515625,219669.296875,-0.18994140625
216789.046875,652759.375,423645.78125,440778.9375,315436.78125,223789.515625,207796.40625,219773.1875,-0.189208984375
217207.640625,653268.9375,424603.25,441194.21875,315998.53125,223891.4375,208000.515625,220131.875,-0.18798828125
217412.5625,653682.875,425178.125,441332.90625,316363.125,223917.375,208065.0625,220248.5625,-0.186767578125
217108.40625,653329.375,424509.1875,440964.09375,315995.75,223833.78125,207895.734375,219950.828125,-0.19384765625
216739.0625,652646.9375,423538.65625,440589.75,315414.6875,223775.3125,207735.875,219664.1875,-0.197021484375
216791.28125,652473.1875,423521.0625,440670.90625,315374.28125,223819.03125,207791.125,219761.28125,-0.198974609375
217208.546875,652981.75,424480.9375,441084.96875,315936.46875,223926.578125,207997.828125,220124.109375,-0.202392578125
217408.09375,653386.875,425061.625,441222.21875,316305.625,223950.0,208060.234375,220243.109375,-0.205078125
217106.890625,653041.0,424401.625,440853.75,315944.15625,223861.765625,207888.484375,219947.25,-0.207275390625
216737.640625,652366.875,423436.65625,440481.46875,315371.25,223802.03125,207730.328125,219665.265625,-0.20703125
216784.3125,652188.5,423416.53125,440566.84375,315335.84375,223850.40625,207794.875,219769.515625,-0.204833984375
217192.984375,652679.375,424360.6875,440975.1875,315886.59375,223943.75,207995.859375,220122.140625,-0.20458984375
217397.1875,653087.6875,424948.53125,441123.15625,316263.25,223956.71875,208060.953125,220243.375,-0.204345703125
217104.828125,652747.9375,424298.34375,440765.96875,315913.40625,223871.234375,207898.6875,219954.859375,-0.201171875
216728.96875,652062.4375,423320.15625,440383.9375,315334.21875,223798.546875,207737.390625,219665.265625,-0.20263671875
216765.171875,651865.25,423279.46875,440453.65625,315286.46875,223830.640625,207790.046875,219753.953125,-0.201904296875
217176.09375,652360.0,424229.96875,440867.875,315849.375,223923.546875,207996.140625,220112.75,-0.20166015625
217385.921875,652772.8125,424831.5,441020.6875,316241.25,223941.78125,208067.296875,220241.671875,-0.202880859375
217097.765625,652439.875,424184.625,440656.09375,315897.5625,223849.421875,207900.640625,219947.796875,-0.202880859375
216721.90625,651752.3125,423203.125,440274.125,315323.9375,223776.375,207738.203125,219655.609375,-0.198974609375
