FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
238018.640625,255514.78125,241275.109375,250153.671875,225334.921875,254625.09375,229247.546875,230026.375,377354.0,1.0,1
238019.796875,255525.6875,241281.546875,250159.484375,225351.28125,254635.203125,229253.265625,230044.4375,377355.0,1.0,1
238091.515625,255552.25,241294.328125,250168.6875,225354.328125,254646.828125,229252.734375,230062.140625,377356.0,1.0,1
238134.875,255557.34375,241293.703125,250167.0,225337.953125,254642.703125,229239.953125,230051.578125,377357.0,1.0,1
238081.046875,255525.875,241278.6875,250156.890625,225320.609375,254625.1875,229237.359375,230026.1875,377358.0,1.0,1
238012.109375,255512.546875,241273.5,250152.15625,225328.296875,254623.3125,229247.453125,230025.84375,377359.0,1.0,1
238019.71875,255533.5625,241286.46875,250162.4375,225354.140625,254640.109375,229258.71875,230051.234375,377360.0,1.0,1
238089.71875,255559.84375,241297.46875,250170.484375,225359.0625,254650.21875,229256.84375,230064.546875,377361.0,1.0,1
238129.328125,255553.859375,241292.8125,250167.984375,225341.0,254642.796875,229244.515625,230050.328125,377362.0,1.0,1
238080.875,255522.828125,241279.5,250158.328125,225324.734375,254620.890625,229237.984375,230027.625,377363.0,1.0,1
238015.953125,255510.765625,241276.71875,250158.40625,225336.53125,254623.9375,229248.984375,230032.625,377364.0,1.0,1
238020.34375,255533.296875,241287.984375,250167.359375,225360.140625,254642.265625,229259.078125,230055.609375,377365.0,1.0,1
238085.25,255555.28125,241297.28125,250168.0625,225359.421875,254648.609375,229251.21875,230061.6875,377366.0,1.0,1
238126.90625,255553.59375,241294.328125,250164.765625,225338.046875,254638.78125,229238.78125,230047.46875,377367.0,1.0,1
238080.515625,255521.40625,241282.359375,250158.140625,225322.21875,254619.640625,229236.8125,230027.09375,377368.0,1.0,1
238018.015625,255513.078125,241278.15625,250155.546875,225333.765625,254619.1875,229246.65625,230028.609375,377369.0,1.0,1
238014.96875,255524.34375,241285.125,250159.125,225348.0625,254630.453125,229254.25,230043.984375,377370.0,1.0,1
238082.390625,255547.5,241297.203125,250166.28125,225350.125,254638.140625,229254.515625,230061.15625,377371.0,1.0,1
238129.15625,255555.640625,241297.109375,250165.921875,225337.609375,254632.15625,229246.125,230056.328125,377372.0,1.0,1
238082.84375,255532.578125,241283.34375,250155.8125,225323.65625,254610.34375,229242.09375,230033.078125,377373.0,1.0,1
238016.9375,255519.796875,241279.140625,250152.875,225334.03125,254612.484375,229258.359375,230032.359375,377374.0,1.0,1
