FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
243868.265625,260533.203125,247593.765625,255991.328125,233609.8125,260744.640625,235005.8125,237096.671875,281875.0,1.0,3
243814.453125,260545.71875,247603.34375,255999.546875,233637.34375,260767.53125,235028.25,237121.71875,281876.0,1.0,3
243872.828125,260579.234375,247613.984375,256005.453125,233652.265625,260785.328125,235034.6875,237144.953125,281877.0,1.0,3
243970.203125,260590.234375,247618.359375,256009.03125,233635.015625,260784.078125,235021.984375,237137.71875,281878.0,1.0,3
243967.328125,260561.984375,247603.515625,255998.828125,233607.75,260757.875,235005.890625,237107.671875,281879.0,1.0,3
243861.484375,260530.25,247589.484375,255988.8125,233605.328125,260744.90625,235005.984375,237092.921875,281880.0,1.0,3
243806.21875,260543.21875,247598.25,255996.15625,233636.359375,260767.0,235027.53125,237116.796875,281881.0,1.0,3
243864.875,260574.328125,247608.4375,256001.96875,233653.96875,260784.34375,235031.109375,237138.078125,281882.0,1.0,3
243964.203125,260590.59375,247612.71875,256004.90625,233641.546875,260783.625,235019.75,237139.59375,281883.0,1.0,3
243961.171875,260559.296875,247597.34375,255995.609375,233613.109375,260756.453125,235003.65625,237111.15625,281884.0,1.0,3
243860.671875,260527.46875,247582.234375,255985.25,233606.765625,260741.421875,235004.203125,237092.390625,281885.0,1.0,3
243804.4375,260539.28125,247589.75,255990.96875,233636.890625,260760.296875,235023.515625,237114.296875,281886.0,1.0,3
243852.09375,260556.890625,247602.171875,255999.734375,233647.984375,260774.328125,235024.046875,237132.34375,281887.0,1.0,3
243946.765625,260562.171875,247605.65625,256001.15625,233631.265625,260769.953125,235008.9375,237129.125,281888.0,1.0,3
243959.734375,260550.71875,247596.8125,255995.53125,233611.40625,260751.34375,234999.375,237109.734375,281889.0,1.0,3
243867.921875,260532.03125,247585.1875,255989.984375,233611.859375,260745.1875,235005.359375,237096.046875,281890.0,1.0,3
243807.125,260538.5625,247594.84375,255997.671875,233639.046875,260769.5,235028.421875,237115.359375,281891.0,1.0,3
243853.78125,260559.484375,247605.125,256001.6875,233647.984375,260782.203125,235025.296875,237128.6875,281892.0,1.0,3
243952.140625,260572.09375,247607.8125,256001.421875,233629.921875,260775.765625,235006.4375,237121.0,281893.0,1.0,3
243959.28125,260550.359375,247596.71875,255991.234375,233603.28125,260751.703125,234990.875,237093.375,281894.0,1.0,3
243866.390625,260525.421875,247588.140625,255985.875,233604.34375,260742.859375,234999.375,237081.03125,281895.0,1.0,3
243808.28125,260534.09375,247596.0,255995.96875,233631.0,260761.984375,235019.484375,237102.75,281896.0,1.0,3
243856.375,260559.484375,247607.453125,256002.671875,233646.734375,260778.078125,235021.0,237126.71875,281897.0,1.0,3
243957.765625,260575.046875,247609.15625,256002.40625,233637.078125,260778.53125,235011.078125,237129.9375,281898.0,1.0,3
243969.484375,260559.75,247600.921875,255996.78125,233615.171875,260758.234375,235002.046875,237110.0,281899.0,1.0,3
243876.3125,260539.015625,247591.265625,255989.09375,233615.609375,260748.578125,235010.09375,237097.75,281900.0,1.0,3
243818.65625,260554.65625,247597.96875,255994.90625,233643.515625,260769.140625,235030.125,237120.453125,281901.0,1.0,3
243863.71875,260574.234375,247609.59375,255999.734375,233652.984375,260783.53125,235032.984375,237139.5,281902.0,1.0,3
243961.875,260581.203125,247615.9375,256004.015625,233639.75,260783.0,235021.265625,237138.703125,281903.0,1.0,3
243974.046875,260562.875,247604.859375,255997.578125,233616.234375,260760.5625,235008.84375,237112.765625,281904.0,1.0,3
243867.015625,260526.578125,247587.6875,255985.0625,233605.15625,260740.0,235003.484375,237086.84375,281905.0,1.0,3
243806.671875,260533.28125,247593.140625,255991.765625,233632.328125,260760.734375,235020.734375,237104.90625,281906.0,1.0,3
243860.40625,260559.484375,247604.40625,255999.375,233647.796875,260778.984375,235026.28125,237128.140625,281907.0,1.0,3
243965.640625,260574.5,247610.765625,256004.734375,233636.984375,260781.125,235016.265625,237127.875,281908.0,1.0,3
243972.34375,260549.640625,247597.96875,255996.15625,233610.515625,260757.25,235001.78125,237102.046875,281909.0,1.0,3
243875.0625,260523.546875,247587.875,255987.484375,233607.84375,260743.03125,235005.359375,237089.703125,281910.0,1.0,3
243815.171875,260535.34375,247593.0625,255991.046875,233635.109375,260762.265625,235019.75,237112.328125,281911.0,1.0,3
243859.875,260554.390625,247605.21875,256000.359375,233647.359375,260780.859375,235021.90625,237130.03125,281912.0,1.0,3
243959.640625,260565.296875,247612.28125,256005.359375,233632.78125,260780.40625,235011.53125,237127.25,281913.0,1.0,3
243969.84375,260547.765625,247598.6875,255995.609375,233607.21875,260756.359375,235000.625,237101.140625,281914.0,1.0,3
243873.640625,260521.03125,247586.265625,255986.765625,233604.703125,260741.6875,235002.859375,237085.765625,281915.0,1.0,3
243807.5625,260527.03125,247588.59375,255989.09375,233629.46875,260758.859375,235019.03125,237104.28125,281916.0,1.0,3
243852.53125,260550.71875,247603.34375,256002.046875,233646.90625,260779.78125,235027.265625,237130.390625,281917.0,1.0,3
243953.75,260561.890625,247609.59375,256007.0625,233633.765625,260780.3125,235013.3125,237127.796875,281918.0,1.0,3
243967.328125,260547.234375,247599.578125,256000.4375,233609.8125,260760.921875,235006.78125,237104.984375,281919.0,1.0,3
243868.8125,260520.953125,247581.703125,255987.484375,233601.765625,260743.21875,235006.96875,237087.5625,281920.0,1.0,3
243803.09375,260528.640625,247584.296875,255988.734375,233625.625,260758.5,235018.5,237103.5625,281921.0,1.0,3
243841.984375,260545.265625,247590.734375,255991.234375,233633.234375,260770.125,235014.296875,237117.15625,281922.0,1.0,3
243947.75,260563.78125,247599.765625,256000.0,233626.34375,260774.5,235009.03125,237121.890625,281923.0,1.0,3
243958.84375,260544.015625,247589.75,255992.390625,233605.25,260754.65625,234998.03125,237100.875,281924.0,1.0,3
243866.9375,260521.484375,247580.546875,255984.703125,233602.46875,260742.328125,235002.59375,237086.578125,281925.0,1.0,3
243803.90625,260529.171875,247583.84375,255987.203125,233624.109375,260760.015625,235014.296875,237100.078125,281926.0,1.0,3
243842.703125,260543.03125,247593.5,255992.3125,233631.359375,260771.640625,235015.90625,237113.03125,281927.0,1.0,3
243937.65625,260547.953125,247597.53125,255994.453125,233617.578125,260768.421875,235001.875,237113.390625,281928.0,1.0,3
243950.34375,260528.8125,247586.0,255988.375,233592.546875,260748.9375,234990.421875,237090.859375,281929.0,1.0,3
243859.6875,260507.53125,247572.40625,255976.125,233588.53125,260736.0625,234995.875,237075.484375,281930.0,1.0,3
243795.046875,260511.828125,247578.9375,255979.703125,233614.09375,260754.21875,235014.125,237095.15625,281931.0,1.0,3
243838.671875,260531.765625,247592.34375,255988.109375,233627.234375,260769.40625,235019.484375,237115.625,281932.0,1.0,3
243944.8125,260555.546875,247601.375,255994.09375,233618.390625,260772.265625,235009.03125,237119.203125,281933.0,1.0,3
243954.8125,260536.234375,247591.09375,255987.390625,233594.0625,260750.453125,234994.453125,237095.78125,281934.0,1.0,3
243853.96875,260503.96875,247577.046875,255978.09375,233585.9375,260732.484375,234993.015625,237075.578125,281935.0,1.0,3
243793.890625,260518.625,247585.640625,255985.421875,233613.65625,260752.875,235012.328125,237096.859375,281936.0,1.0,3
243844.40625,260549.015625,247599.5,255994.984375,233630.453125,260772.265625,235018.40625,237120.8125,281937.0,1.0,3
243949.546875,260566.28125,247609.421875,256001.515625,233623.03125,260776.03125,235010.640625,237122.515625,281938.0,1.0,3
243963.140625,260546.34375,247603.609375,255997.84375,233600.421875,260758.59375,235001.6875,237098.015625,281939.0,1.0,3
243866.03125,260517.015625,247589.75,255987.03125,233595.59375,260742.140625,235001.78125,237078.171875,281940.0,1.0,3
243798.625,260524.4375,247590.375,255988.546875,233616.78125,260757.609375,235016.71875,237092.203125,281941.0,1.0,3
243843.5,260551.171875,247601.8125,255996.59375,233634.125,260776.296875,235023.0625,237116.609375,281942.0,1.0,3
243945.34375,260565.390625,247610.484375,256001.609375,233625.0,260778.53125,235015.46875,237123.3125,281943.0,1.0,3
243956.515625,260543.390625,247597.34375,255990.875,233597.109375,260750.71875,235000.171875,237096.3125,281944.0,1.0,3
243863.0,260514.78125,247587.515625,255983.8125,233594.421875,260739.640625,235003.921875,237079.15625,281945.0,1.0,3
243806.140625,260529.078125,247594.671875,255990.609375,233622.953125,260763.234375,235025.125,237100.15625,281946.0,1.0,3
243845.109375,260546.078125,247602.359375,255997.484375,233632.609375,260778.34375,235026.640625,237117.234375,281947.0,1.0,3
243949.71875,260561.8125,247612.453125,256007.0625,233625.453125,260783.53125,235020.921875,237121.71875,281948.0,1.0,3
243970.734375,260546.96875,247603.609375,256000.625,233606.40625,260764.765625,235006.609375,237102.75,281949.0,1.0,3
243873.90625,260517.90625,247588.9375,255990.609375,233600.421875,260745.625,235003.125,237084.34375,281950.0,1.0,3
243801.484375,260514.59375,247592.4375,255992.75,233621.875,260759.578125,235018.859375,237096.765625,281951.0,1.0,3
243837.96875,260532.03125,247599.046875,255997.578125,233627.59375,260769.234375,235017.703125,237109.1875,281952.0,1.0,3
243952.3125,260559.75,247612.453125,256010.453125,233624.734375,260778.078125,235012.328125,237119.125,281953.0,1.0,3
243966.625,260540.890625,247599.046875,255998.390625,233599.34375,260755.1875,234995.53125,237091.484375,281954.0,1.0,3
243869.53125,260507.625,247584.109375,255986.21875,233591.46875,260737.40625,234998.03125,237070.65625,281955.0,1.0,3
243806.40625,260519.421875,247589.03125,255989.0,233615.609375,260753.40625,235013.40625,237090.234375,281956.0,1.0,3
243846.640625,260543.65625,247601.90625,255998.390625,233630.453125,260771.46875,235015.734375,237110.890625,281957.0,1.0,3
243947.390625,260557.0625,247607.265625,256004.203125,233620.359375,260773.4375,235004.546875,237112.5,281958.0,1.0,3
243966.703125,260540.796875,247598.15625,255997.484375,233597.5625,260753.765625,234992.578125,237090.234375,281959.0,1.0,3
243872.921875,260512.984375,247589.296875,255989.984375,233595.328125,260743.75,235006.15625,237075.484375,281960.0,1.0,3
243802.828125,260518.09375,247592.96875,255992.125,233621.25,260763.328125,235019.75,237092.921875,281961.0,1.0,3
243847.796875,260548.671875,247608.875,256003.296875,233639.046875,260784.515625,235028.25,237114.828125,281962.0,1.0,3
243953.75,260568.515625,247619.25,256012.6875,233632.25,260789.078125,235025.5625,237120.90625,281963.0,1.0,3
243965.453125,260542.578125,247602.171875,255999.09375,233601.484375,260761.8125,235004.28125,237091.578125,281964.0,1.0,3
243872.109375,260515.9375,247583.21875,255985.25,233593.890625,260741.6875,235001.6875,237072.8125,281965.0,1.0,3
243805.953125,260525.515625,247586.0,255987.296875,233618.03125,260759.125,235016.625,237090.234375,281966.0,1.0,3
243842.4375,260545.984375,247597.96875,255994.359375,233634.578125,260777.015625,235021.453125,237113.21875,281967.0,1.0,3
243942.84375,260561.359375,247609.78125,256005.359375,233629.65625,260784.515625,235017.96875,237121.265625,281968.0,1.0,3
243970.28125,260554.828125,247604.40625,256003.84375,233610.78125,260771.828125,235011.890625,237106.953125,281969.0,1.0,3
243876.859375,260527.75,247586.625,255991.328125,233603.28125,260754.21875,235006.078125,237086.125,281970.0,1.0,3
243796.125,260519.515625,247583.40625,255987.296875,233620.359375,260761.625,235016.0,237093.546875,281971.0,1.0,3
243836.0,260544.109375,247595.921875,255999.1875,233637.703125,260783.890625,235027.078125,237117.78125,281972.0,1.0,3
243945.25,260567.53125,247605.65625,256007.140625,233630.8125,260785.421875,235020.375,237123.5,281973.0,1.0,3
243967.15625,260549.734375,247595.734375,255998.46875,233606.5,260759.3125,235000.078125,237100.515625,281974.0,1.0,3
243871.046875,260516.203125,247579.640625,255985.0625,233599.25,260743.296875,234997.671875,237076.109375,281975.0,1.0,3
243799.96875,260522.015625,247584.5625,255987.65625,233625.890625,260762.4375,235016.4375,237091.671875,281976.0,1.0,3
243831.078125,260538.5625,247593.953125,255994.0,233635.46875,260775.40625,235019.390625,237108.84375,281977.0,1.0,3
243938.09375,260557.515625,247610.140625,256008.671875,233634.125,260783.984375,235019.65625,237121.984375,281978.0,1.0,3
243957.40625,260538.390625,247597.34375,255998.03125,233607.484375,260759.3125,234997.84375,237096.59375,281979.0,1.0,3
243861.125,260506.28125,247577.859375,255983.546875,233594.6875,260737.84375,234992.84375,237072.984375,281980.0,1.0,3
243791.46875,260511.5625,247579.109375,255985.0625,233616.328125,260753.9375,235010.640625,237087.015625,281981.0,1.0,3
243833.9375,260539.015625,247595.828125,255998.46875,233638.234375,260778.625,235023.15625,237113.03125,281982.0,1.0,3
243940.78125,260559.125,247607.8125,256005.984375,233633.3125,260783.453125,235014.5625,237121.0,281983.0,1.0,3
243958.484375,260535.609375,247593.765625,255993.46875,233601.484375,260752.6875,234992.3125,237086.578125,281984.0,1.0,3
243867.015625,260509.234375,247578.578125,255982.203125,233595.046875,260735.34375,234992.65625,237068.421875,281985.0,1.0,3
243796.296875,260515.234375,247580.71875,255984.625,233620.53125,260752.875,235008.3125,237085.765625,281986.0,1.0,3
243834.921875,260538.734375,247591.0,255993.109375,233634.296875,260770.125,235013.40625,237107.671875,281987.0,1.0,3
243936.84375,260552.234375,247596.28125,255998.828125,233622.40625,260766.28125,235000.171875,237109.375,281988.0,1.0,3
243960.984375,260534.625,247585.640625,255991.859375,233595.234375,260741.515625,234980.234375,237083.265625,281989.0,1.0,3
243873.28125,260508.515625,247576.875,255986.21875,233593.078125,260731.234375,234988.015625,237067.53125,281990.0,1.0,3
243796.84375,260508.515625,247579.109375,255985.421875,233615.96875,260751.0,235007.234375,237082.109375,281991.0,1.0,3
243826.078125,260524.703125,247590.734375,255991.953125,233626.96875,260767.625,235013.40625,237102.671875,281992.0,1.0,3
243927.8125,260540.34375,247597.171875,255997.484375,233616.234375,260769.328125,235001.875,237106.515625,281993.0,1.0,3
243953.390625,260528.640625,247588.671875,255991.40625,233591.296875,260748.3125,234985.328125,237083.53125,281994.0,1.0,3
243860.5,260500.03125,247575.71875,255983.640625,233585.390625,260732.578125,234986.5,237063.328125,281995.0,1.0,3
243788.078125,260502.53125,247579.640625,255987.03125,233609.984375,260749.46875,234999.71875,237077.1875,281996.0,1.0,3
243825.265625,260527.5625,247592.25,255995.609375,233624.28125,260766.546875,235006.875,237095.0625,281997.0,1.0,3
243932.46875,260547.953125,247604.5,256003.21875,233619.109375,260772.359375,235001.0625,237100.34375,281998.0,1.0,3
243960.0,260532.578125,247598.515625,256001.421875,233597.46875,260756.453125,234990.515625,237081.296875,281999.0,1.0,3
243873.28125,260508.96875,247584.203125,255991.953125,233591.921875,260741.25,234991.859375,237065.828125,282000.0,1.0,3
243801.671875,260515.5,247586.53125,255990.78125,233617.046875,260755.90625,235007.5,237082.546875,282001.0,1.0,3
243839.484375,260542.5,247602.71875,256003.296875,233636.984375,260779.328125,235020.015625,237107.859375,282002.0,1.0,3
243925.40625,260544.1875,247598.6875,255996.515625,233611.5,260767.265625,234996.234375,237093.734375,282003.0,1.0,3
243947.578125,260526.484375,247587.78125,255988.90625,233582.984375,260743.125,234974.328125,237063.59375,282004.0,1.0,3
243859.328125,260499.671875,247575.890625,255983.28125,233576.28125,260726.3125,234977.90625,237043.390625,282005.0,1.0,3
243798.625,260517.46875,247589.03125,255995.875,233613.296875,260754.390625,235009.734375,237074.953125,282006.0,1.0,3
243830.1875,260536.859375,247602.171875,256004.5625,233632.875,260774.5,235017.78125,237100.515625,282007.0,1.0,3
243932.640625,260554.125,247607.359375,256003.390625,233623.9375,260775.046875,235000.0,237100.4375,282008.0,1.0,3
243955.0,260536.5,247591.09375,255989.625,233594.609375,260748.40625,234980.765625,237072.359375,282009.0,1.0,3
243861.03125,260505.484375,247572.046875,255976.75,233580.65625,260726.9375,234981.125,237048.125,282010.0,1.0,3
243783.96875,260504.046875,247574.453125,255979.078125,233599.703125,260743.484375,234997.484375,237061.546875,282011.0,1.0,3
243825.625,260532.03125,247595.03125,255995.96875,233624.5625,260773.4375,235015.640625,237096.40625,282012.0,1.0,3
243935.59375,260556.4375,247604.234375,256004.203125,233619.453125,260778.53125,235006.34375,237105.625,282013.0,1.0,3
243964.296875,260540.265625,247591.53125,255994.625,233593.53125,260755.28125,234988.8125,237080.3125,282014.0,1.0,3
243868.625,260504.9375,247574.734375,255981.046875,233583.078125,260732.21875,234985.15625,237056.359375,282015.0,1.0,3
243792.09375,260510.40625,247579.640625,255983.1875,233610.609375,260750.28125,235004.546875,237073.15625,282016.0,1.0,3
243824.1875,260534.265625,247591.265625,255992.75,233629.203125,260770.9375,235013.671875,237096.9375,282017.0,1.0,3
243928.53125,260551.703125,247601.734375,256000.265625,233624.109375,260779.875,235004.375,237104.09375,282018.0,1.0,3
243957.953125,260536.140625,247591.890625,255992.578125,233598.1875,260760.828125,234989.359375,237080.578125,282019.0,1.0,3
243870.5,260507.0,247576.6875,255982.734375,233590.40625,260745.625,234990.875,237062.703125,282020.0,1.0,3
243794.421875,260509.5,247575.53125,255981.484375,233611.765625,260756.71875,235006.703125,237076.203125,282021.0,1.0,3
243821.875,260526.9375,247584.5625,255986.765625,233626.078125,260770.03125,235011.265625,237092.828125,282022.0,1.0,3
243923.53125,260544.546875,247592.609375,255991.59375,233617.3125,260773.25,235001.875,237093.546875,282023.0,1.0,3
243952.046875,260526.9375,247584.65625,255984.078125,233592.453125,260753.765625,234988.453125,237070.5625,282024.0,1.0,3
243867.46875,260503.6875,247570.890625,255976.921875,233586.46875,260738.65625,234993.640625,237059.125,282025.0,1.0,3
243793.265625,260510.125,247570.890625,255980.0625,233608.203125,260752.609375,235008.9375,237075.390625,282026.0,1.0,3
243818.390625,260528.1875,247578.578125,255983.015625,233619.375,260767.890625,235008.578125,237091.3125,282027.0,1.0,3
243909.40625,260534.265625,247581.515625,255980.6875,233601.484375,260763.875,234989.625,237083.984375,282028.0,1.0,3
243942.5625,260523.09375,247580.09375,255981.671875,233580.296875,260745.09375,234980.0625,237065.65625,282029.0,1.0,3
243864.78125,260505.125,247570.265625,255977.015625,233578.0625,260733.109375,234988.734375,237054.484375,282030.0,1.0,3
243789.953125,260506.734375,247572.9375,255978.984375,233601.9375,260751.34375,235007.234375,237071.203125,282031.0,1.0,3
243813.5625,260523.0,247580.453125,255983.1875,233615.4375,260767.625,235009.734375,237090.328125,282032.0,1.0,3
243916.015625,260543.921875,247587.0625,255989.53125,233607.75,260770.3125,235001.6875,237097.84375,282033.0,1.0,3
243941.671875,260524.703125,247573.203125,255978.8125,233579.859375,260745.625,234983.28125,237072.53125,282034.0,1.0,3
243852.171875,260491.796875,247558.1875,255966.640625,233567.96875,260722.203125,234981.3125,237049.109375,282035.0,1.0,3
243777.171875,260496.265625,247563.375,255971.65625,233592.640625,260738.828125,234998.203125,237063.859375,282036.0,1.0,3
243801.484375,260515.578125,247576.78125,255980.5,233606.9375,260757.515625,235005.09375,237082.109375,282037.0,1.0,3
243901.796875,260532.21875,247583.21875,255983.546875,233596.84375,260759.75,234997.578125,237084.15625,282038.0,1.0,3
243942.75,260527.75,247577.40625,255977.015625,233577.53125,260744.375,234986.671875,237066.28125,282039.0,1.0,3
243863.09375,260502.53125,247569.546875,255974.15625,233574.75,260730.703125,234993.46875,237052.15625,282040.0,1.0,3
243782.359375,260496.8125,247568.734375,255973.890625,233591.46875,260740.890625,235004.109375,237061.890625,282041.0,1.0,3
243814.359375,260521.9375,247583.046875,255982.375,233610.34375,260761.359375,235007.859375,237083.4375,282042.0,1.0,3
243919.59375,260543.484375,247591.625,255990.15625,233605.78125,260763.421875,234999.015625,237088.8125,282043.0,1.0,3
243954.375,260533.46875,247583.9375,255986.671875,233584.765625,260745.890625,234984.703125,237071.90625,282044.0,1.0,3
243856.828125,260491.4375,247565.78125,255973.890625,233566.625,260721.484375,234978.359375,237042.140625,282045.0,1.0,3
243780.296875,260493.953125,247567.9375,255976.65625,233589.0625,260735.4375,234994.0,237054.65625,282046.0,1.0,3
243816.78125,260522.640625,247585.90625,255990.78125,233615.609375,260761.8125,235007.421875,237082.46875,282047.0,1.0,3
243925.140625,260547.859375,247592.078125,255994.8125,233609.53125,260763.15625,234995.796875,237089.96875,282048.0,1.0,3
243960.453125,260536.328125,247585.71875,255988.8125,233586.828125,260744.28125,234983.71875,237072.09375,282049.0,1.0,3
243874.625,260505.921875,247576.25,255981.84375,233578.515625,260728.1875,234984.890625,237052.421875,282050.0,1.0,3
243782.0,260490.1875,247569.1875,255975.234375,233587.0,260731.953125,234988.28125,237052.421875,282051.0,1.0,3
243808.1875,260512.28125,247579.28125,255982.375,233599.703125,260747.78125,234993.640625,237067.625,282052.0,1.0,3
243917.796875,260538.828125,247595.734375,255994.453125,233600.59375,260759.75,234994.265625,237078.609375,282053.0,1.0,3
243950.796875,260526.484375,247586.4375,255985.0625,233577.796875,260738.296875,234976.03125,237058.671875,282054.0,1.0,3
243868.09375,260502.171875,247574.015625,255975.9375,233572.703125,260720.6875,234976.484375,237043.03125,282055.0,1.0,3
243800.328125,260515.3125,247584.296875,255984.4375,233604.171875,260744.640625,235000.984375,237066.90625,282056.0,1.0,3
243841.546875,260552.59375,247612.71875,256008.9375,233638.140625,260781.75,235027.625,237108.125,282057.0,1.0,3
243951.78125,260577.625,247626.859375,256021.1875,233638.59375,260794.625,235028.421875,237121.265625,282058.0,1.0,3
243998.1875,260575.9375,247621.40625,256020.109375,233623.3125,260781.03125,235021.359375,237108.125,282059.0,1.0,3
243916.90625,260552.515625,247609.78125,256014.65625,233619.546875,260767.625,235026.28125,237090.328125,282060.0,1.0,3
243826.25,260542.578125,247606.015625,256009.03125,233634.390625,260776.5625,235037.09375,237094.265625,282061.0,1.0,3
243840.28125,260550.8125,247610.765625,256010.71875,233644.859375,260790.421875,235033.25,237106.953125,282062.0,1.0,3
243929.34375,260556.0,247608.34375,256005.53125,233628.40625,260784.609375,235014.5625,237098.203125,282063.0,1.0,3
243952.578125,260530.25,247591.0,255991.6875,233593.265625,260753.765625,234988.1875,237062.4375,282064.0,1.0,3
243863.4375,260495.5625,247572.671875,255977.015625,233574.21875,260729.09375,234981.9375,237034.71875,282065.0,1.0,3
243789.5,260500.5625,247574.453125,255980.328125,233598.09375,260741.515625,234996.0625,237050.625,282066.0,1.0,3
243815.796875,260520.859375,247586.171875,255990.15625,233617.046875,260758.0625,235005.53125,237076.65625,282067.0,1.0,3
243906.625,260528.09375,247588.765625,255989.09375,233603.8125,260755.1875,234988.453125,237077.71875,282068.0,1.0,3
