FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
244453.171875,261091.359375,248118.046875,256403.578125,234332.65625,261358.953125,235546.890625,237886.3125,278875.0,1.0,2
244398.8125,261057.75,248100.265625,256390.875,234310.578125,261330.890625,235532.40625,237854.671875,278876.0,1.0,2
244293.484375,261039.0625,248095.796875,256388.46875,234321.75,261333.75,235544.03125,237851.984375,278877.0,1.0,2
244285.890625,261068.828125,248107.859375,256396.78125,234349.734375,261356.640625,235558.875,237876.84375,278878.0,1.0,2
244372.890625,261089.578125,248118.859375,256403.75,234348.578125,261364.140625,235554.40625,237886.765625,278879.0,1.0,2
244440.75,261078.484375,248112.515625,256399.203125,234322.203125,261347.25,235534.015625,237867.0,278880.0,1.0,2
244387.546875,261049.171875,248095.53125,256387.84375,234303.609375,261319.4375,235526.875,237837.6875,278881.0,1.0,2
244291.96875,261044.0625,248094.546875,256389.984375,234323.453125,261325.25,235546.1875,237848.046875,278882.0,1.0,2
244275.796875,261060.96875,248102.40625,256395.4375,234344.46875,261347.875,235560.046875,237873.625,278883.0,1.0,2
244364.125,261083.9375,248109.5625,256399.640625,234341.328125,261354.40625,235552.796875,237883.453125,278884.0,1.0,2
244437.265625,261075.890625,248103.125,256390.796875,234314.421875,261338.671875,235526.25,237862.359375,278885.0,1.0,2
244379.046875,261035.578125,248086.84375,256378.984375,234290.375,261309.703125,235514.0,237828.46875,278886.0,1.0,2
244278.109375,261023.0625,248086.3125,256381.765625,234304.234375,261315.859375,235530.265625,237830.4375,278887.0,1.0,2
244267.109375,261047.28125,248095.703125,256388.46875,234331.3125,261338.046875,235545.015625,237857.078125,278888.0,1.0,2
244361.0,261073.578125,248109.734375,256398.578125,234338.921875,261351.546875,235545.90625,237876.3125,278889.0,1.0,2
244435.015625,261068.03125,248105.09375,256395.265625,234316.125,261337.140625,235529.546875,237861.734375,278890.0,1.0,2
244386.75,261042.109375,248092.21875,256386.40625,234298.5,261314.34375,235524.28125,237836.34375,278891.0,1.0,2
244288.578125,261033.34375,248088.375,256384.890625,234314.25,261319.078125,235536.53125,237838.046875,278892.0,1.0,2
244273.46875,261050.15625,248098.296875,256392.9375,234334.265625,261337.59375,235546.0,237853.953125,278893.0,1.0,2
244356.96875,261065.96875,248107.421875,256397.234375,234328.640625,261344.03125,235536.609375,237859.046875,278894.0,1.0,2
244434.3125,261062.3125,248105.09375,256394.453125,234308.078125,261333.5625,235519.8125,237847.25,278895.0,1.0,2
244384.859375,261032.984375,248090.875,256384.890625,234291.796875,261311.125,235514.171875,237825.4375,278896.0,1.0,2
244285.71875,261025.5625,248084.609375,256380.0625,234304.765625,261316.484375,235532.328125,237826.59375,278897.0,1.0,2
244274.265625,261049.515625,248098.921875,256392.578125,234336.859375,261343.046875,235551.546875,237859.3125,278898.0,1.0,2
244356.078125,261067.140625,248110.28125,256400.09375,234337.40625,261352.796875,235545.640625,237872.90625,278899.0,1.0,2
244431.890625,261067.3125,248109.375,256398.75,234315.5,261339.828125,235530.09375,237857.078125,278900.0,1.0,2
