FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
223987.734375,244024.828125,241458.484375,241691.5625,218893.234375,240114.703125,201210.234375,228978.796875,378573.0,1.0,2
224006.515625,244186.65625,241930.203125,241743.78125,219331.0625,240369.421875,201509.84375,229182.640625,378574.0,1.0,2
223965.03125,244109.046875,241670.828125,241696.390625,219109.875,240250.953125,201382.875,229066.859375,378575.0,1.0,2
223913.625,243902.421875,241056.328125,241609.9375,218549.828125,239931.328125,201012.46875,228797.46875,378576.0,1.0,2
223925.6875,243846.71875,240913.375,241606.1875,218405.515625,239839.953125,200901.875,228741.234375,378577.0,1.0,2
223998.109375,244035.109375,241464.125,241698.28125,218893.59375,240118.1875,201220.609375,228988.171875,378578.0,1.0,2
224012.59375,244189.421875,241934.84375,241743.6875,219324.171875,240366.109375,201512.4375,229180.578125,378579.0,1.0,2
223966.453125,244107.078125,241675.203125,241688.625,219101.828125,240248.453125,201381.984375,229063.28125,378580.0,1.0,2
223914.78125,243901.359375,241059.8125,241604.84375,218543.65625,239931.765625,201012.828125,228799.078125,378581.0,1.0,2
223929.0,243849.859375,240919.0,241614.140625,218406.234375,239845.765625,200906.96875,228746.0625,378582.0,1.0,2
223983.984375,244022.765625,241450.625,241697.828125,218879.5625,240108.171875,201210.40625,228974.59375,378583.0,1.0,2
224000.703125,244181.734375,241926.171875,241737.703125,219319.0,240362.453125,201510.90625,229176.5625,378584.0,1.0,2
223952.515625,244097.6875,241668.140625,241684.15625,219099.3125,240244.703125,201379.75,229061.046875,378585.0,1.0,2
223902.796875,243890.984375,241051.953125,241601.984375,218540.703125,239930.15625,201008.625,228794.53125,378586.0,1.0,2
223925.234375,243845.828125,240915.875,241611.46875,218403.28125,239847.015625,200905.453125,228747.671875,378587.0,1.0,2
223988.453125,244027.5,241455.984375,241699.796875,218881.875,240116.671875,201212.640625,228987.375,378588.0,1.0,2
224014.203125,244192.46875,241941.90625,241754.25,219329.71875,240374.15625,201516.09375,229193.71875,378589.0,1.0,2
223963.328125,244106.8125,241685.671875,241692.734375,219110.578125,240255.15625,201386.015625,229072.671875,378590.0,1.0,2
223919.609375,243899.75,241073.953125,241613.078125,218554.65625,239942.046875,201016.125,228804.890625,378591.0,1.0,2
223933.015625,243842.34375,240920.53125,241615.3125,218404.265625,239845.765625,200895.609375,228743.828125,378592.0,1.0,2
223978.53125,244009.453125,241442.296875,241685.3125,218868.921875,240099.5,201190.828125,228971.8125,378593.0,1.0,2
224013.484375,244188.171875,241943.15625,241754.78125,219329.8125,240369.328125,201510.46875,229190.421875,378594.0,1.0,2
223965.203125,244107.078125,241695.421875,241697.375,219119.890625,240259.453125,201390.03125,229077.3125,378595.0,1.0,2
223909.6875,243897.6875,241072.0625,241605.203125,218555.453125,239939.375,201016.75,228808.46875,378596.0,1.0,2
223918.265625,243837.25,240910.6875,241602.15625,218397.828125,239837.8125,200896.953125,228744.71875,378597.0,1.0,2
223976.65625,244007.5625,241438.09375,241688.4375,218868.203125,240098.875,201199.0625,228975.03125,378598.0,1.0,2
223997.84375,244166.359375,241921.34375,241739.21875,219312.109375,240355.375,201499.109375,229173.25,378599.0,1.0,2
223962.515625,244101.625,241687.09375,241700.15625,219114.875,240256.5,201389.234375,229072.765625,378600.0,1.0,2
223910.484375,243896.25,241068.671875,241608.328125,218552.328125,239940.796875,201019.171875,228805.78125,378601.0,1.0,2
223932.484375,243840.28125,240914.796875,241608.515625,218399.703125,239849.25,200908.03125,228749.546875,378602.0,1.0,2
223988.453125,244008.734375,241438.015625,241693.71875,218861.9375,240103.609375,201204.6875,228975.65625,378603.0,1.0,2
224007.234375,244179.234375,241930.203125,241743.421875,219315.78125,240365.390625,201514.046875,229183.796875,378604.0,1.0,2
223953.40625,244098.5,241685.3125,241683.25,219109.328125,240256.3125,201391.90625,229067.03125,378605.0,1.0,2
223906.90625,243894.015625,241075.5625,241604.75,218557.25,239949.828125,201029.90625,228807.484375,378606.0,1.0,2
223913.96875,243826.515625,240899.875,241595.90625,218387.1875,239839.140625,200897.125,228736.953125,378607.0,1.0,2
223978.171875,244005.875,241428.71875,241683.609375,218859.625,240104.421875,201199.6875,228974.671875,378608.0,1.0,2
224000.34375,244175.46875,241923.484375,241736.984375,219313.890625,240369.234375,201508.765625,229183.4375,378609.0,1.0,2
223957.34375,244102.609375,241691.296875,241689.421875,219114.96875,240265.890625,201395.578125,229079.375,378610.0,1.0,2
223904.40625,243896.96875,241073.328125,241601.71875,218553.40625,239947.15625,201024.625,228813.5625,378611.0,1.0,2
223910.671875,243829.203125,240897.375,241593.9375,218381.375,239836.828125,200894.71875,228744.359375,378612.0,1.0,2
223965.5625,243990.484375,241416.203125,241673.875,218838.875,240084.84375,201183.5,228970.203125,378613.0,1.0,2
223990.328125,244155.890625,241914.546875,241732.609375,219297.09375,240349.484375,201494.640625,229182.453125,378614.0,1.0,2
223959.65625,244096.890625,241697.921875,241693.71875,219115.40625,240262.578125,201395.75,229087.953125,378615.0,1.0,2
223914.875,243895.546875,241083.515625,241606.984375,218559.21875,239950.734375,201030.796875,228823.671875,378616.0,1.0,2
223915.3125,243823.65625,240898.625,241592.953125,218377.984375,239832.984375,200892.84375,228742.671875,378617.0,1.0,2
223970.65625,243995.953125,241414.5,241673.421875,218835.125,240085.546875,201184.3125,228964.046875,378618.0,1.0,2
223996.5,244164.03125,241913.75,241730.734375,219296.109375,240351.71875,201496.96875,229173.78125,378619.0,1.0,2
223949.921875,244093.40625,241685.21875,241678.609375,219104.859375,240252.46875,201388.15625,229069.09375,378620.0,1.0,2
223896.984375,243886.875,241066.796875,241594.296875,218545.53125,239939.46875,201018.28125,228801.9375,378621.0,1.0,2
223912.8125,243821.6875,240891.28125,241590.09375,218373.875,239834.3125,200888.453125,228735.34375,378622.0,1.0,2
223988.890625,244007.5625,241427.28125,241688.890625,218851.390625,240103.25,201197.09375,228978.703125,378623.0,1.0,2
224016.53125,244182.0,241934.84375,241749.59375,219315.421875,240372.734375,201512.703125,229191.578125,378624.0,1.0,2
223977.453125,244116.640625,241720.09375,241710.171875,219135.4375,240281.71875,201414.625,229099.671875,378625.0,1.0,2
223908.875,243897.234375,241085.921875,241606.90625,218563.5,239951.265625,201032.140625,228819.734375,378626.0,1.0,2
223909.765625,243819.640625,240886.640625,241585.984375,218372.0,239827.34375,200884.25,228732.03125,378627.0,1.0,2
223973.25,243993.703125,241405.375,241678.0625,218832.890625,240085.546875,201180.546875,228963.328125,378628.0,1.0,2
224003.921875,244169.03125,241915.796875,241739.140625,219300.9375,240357.625,201500.8125,229179.515625,378629.0,1.0,2
223962.515625,244104.9375,241700.15625,241689.6875,219120.515625,240262.40625,201399.859375,229081.34375,378630.0,1.0,2
223912.984375,243897.59375,241084.140625,241604.484375,218562.78125,239949.203125,201031.6875,228816.875,378631.0,1.0,2
223924.96875,243830.359375,240898.53125,241601.890625,218381.734375,239839.421875,200894.71875,228743.03125,378632.0,1.0,2
223994.4375,244012.125,241423.53125,241696.21875,218851.75,240105.484375,201196.203125,228981.109375,378633.0,1.0,2
224016.171875,244186.296875,241929.75,241747.890625,219317.828125,240374.875,201511.359375,229194.703125,378634.0,1.0,2
223965.734375,244117.546875,241710.171875,241691.5625,219129.890625,240276.25,201402.8125,229091.890625,378635.0,1.0,2
223910.046875,243904.296875,241086.90625,241599.484375,218564.3125,239956.53125,201028.5625,228825.28125,378636.0,1.0,2
223922.296875,243831.703125,240895.84375,241599.125,218377.0,239838.703125,200889.53125,228750.984375,378637.0,1.0,2
223985.953125,244004.171875,241413.328125,241695.0625,218836.828125,240096.109375,201184.125,228980.578125,378638.0,1.0,2
224015.1875,244179.765625,241926.625,241758.359375,219308.078125,240369.0625,201505.09375,229199.09375,378639.0,1.0,2
223961.265625,244106.8125,241706.765625,241694.609375,219125.34375,240270.984375,201403.71875,229097.609375,378640.0,1.0,2
223908.4375,243898.9375,241086.546875,241600.828125,218566.1875,239958.421875,201032.578125,228831.8125,378641.0,1.0,2
223916.203125,243828.671875,240887.09375,241596.265625,218374.5,239839.953125,200886.40625,228750.265625,378642.0,1.0,2
223979.59375,244000.421875,241398.9375,241683.96875,218828.421875,240093.78125,201180.546875,228976.375,378643.0,1.0,2
224010.09375,244179.3125,241916.78125,241742.4375,219301.5625,240367.359375,201502.59375,229194.53125,378644.0,1.0,2
223966.1875,244121.203125,241713.65625,241689.25,219133.921875,240280.375,201410.0625,229100.03125,378645.0,1.0,2
223914.515625,243913.15625,241097.734375,241607.890625,218578.609375,239968.25,201045.546875,228836.09375,378646.0,1.0,2
223920.859375,243836.4375,240892.625,241603.234375,218381.5625,239846.03125,200899.09375,228754.734375,378647.0,1.0,2
223984.96875,244009.625,241405.5625,241688.53125,218836.828125,240096.90625,201189.671875,228980.84375,378648.0,1.0,2
224008.921875,244182.453125,241921.796875,241743.78125,219310.3125,240361.375,201504.734375,229193.015625,378649.0,1.0,2
223964.40625,244119.421875,241723.578125,241694.25,219145.71875,240270.984375,201409.703125,229100.390625,378650.0,1.0,2
223905.390625,243905.015625,241099.875,241596.796875,218579.5,239948.140625,201034.1875,228823.84375,378651.0,1.0,2
223922.46875,243838.140625,240900.234375,241598.765625,218386.65625,239833.78125,200897.484375,228750.265625,378652.0,1.0,2
223993.71875,244008.546875,241414.671875,241699.796875,218842.625,240090.65625,201192.171875,228987.28125,378653.0,1.0,2
224008.5625,244171.8125,241921.34375,241743.78125,219306.125,240351.53125,201499.5625,229194.078125,378654.0,1.0,2
223964.3125,244113.421875,241725.90625,241694.15625,219144.46875,240267.046875,201412.828125,229107.71875,378655.0,1.0,2
223906.640625,243905.734375,241107.296875,241607.796875,218586.84375,239953.953125,201045.28125,228841.640625,378656.0,1.0,2
223907.625,243825.171875,240890.21875,241589.734375,218377.8125,239827.796875,200891.671875,228755.0,378657.0,1.0,2
223969.765625,243989.328125,241391.515625,241676.375,218822.34375,240078.046875,201175.09375,228979.234375,378658.0,1.0,2
223985.765625,244156.078125,241902.84375,241726.171875,219290.203125,240345.015625,201491.6875,229193.640625,378659.0,1.0,2
223949.203125,244103.5,241717.5,241682.453125,219139.28125,240272.328125,201412.828125,229114.953125,378660.0,1.0,2
223902.4375,243898.40625,241101.578125,241602.25,218583.0,239962.625,201046.171875,228850.40625,378661.0,1.0,2
223905.21875,243815.609375,240879.75,241592.5,218370.46875,239832.53125,200889.890625,228762.0625,378662.0,1.0,2
223965.296875,243977.171875,241377.65625,241674.84375,218808.203125,240077.6875,201170.0,228979.5,378663.0,1.0,2
223987.5625,244148.828125,241899.171875,241721.15625,219282.78125,240352.25,201493.65625,229195.0625,378664.0,1.0,2
223952.0625,244097.25,241718.21875,241680.390625,219134.1875,240280.546875,201414.171875,229112.0,378665.0,1.0,2
223913.171875,243908.421875,241116.140625,241607.171875,218593.453125,239984.796875,201062.71875,228861.40625,378666.0,1.0,2
223910.21875,243824.375,240886.546875,241589.375,218376.90625,239850.328125,200901.953125,228768.859375,378667.0,1.0,2
223965.46875,243985.03125,241375.25,241669.578125,218810.53125,240088.40625,201175.015625,228980.046875,378668.0,1.0,2
223998.28125,244168.234375,241905.4375,241736.453125,219295.296875,240369.953125,201504.203125,229207.140625,378669.0,1.0,2
223958.59375,244121.296875,241725.71875,241691.21875,219148.046875,240296.1875,201428.921875,229127.5625,378670.0,1.0,2
223904.234375,243917.625,241110.25,241606.28125,218593.640625,239985.6875,201068.171875,228865.15625,378671.0,1.0,2
223902.625,243831.96875,240880.296875,241587.5,218373.421875,239849.96875,200905.984375,228770.296875,378672.0,1.0,2
223950.28125,243979.21875,241359.0625,241655.984375,218795.34375,240073.75,201167.671875,228971.375,378673.0,1.0,2
223987.203125,244164.5625,241894.53125,241724.5625,219288.234375,240352.4375,201497.5,229198.375,378674.0,1.0,2
223949.65625,244114.046875,241722.765625,241682.453125,219149.03125,240282.15625,201422.390625,229120.140625,378675.0,1.0,2
223898.78125,243915.75,241109.265625,241597.0625,218597.75,239974.0625,201060.5625,228858.453125,378676.0,1.0,2
223897.25,243822.140625,240869.5625,241576.6875,218366.625,239832.359375,200890.34375,228755.71875,378677.0,1.0,2
