FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation,Label
244460.953125,260033.765625,253202.984375,264533.96875,231455.1875,261862.671875,236224.6875,236667.96875,162546.0,1.0,2
244482.859375,260061.484375,253217.921875,264542.90625,231480.578125,261886.640625,236234.078125,236692.109375,162547.0,1.0,2
244515.21875,260076.421875,253226.140625,264548.8125,231468.953125,261882.265625,236218.078125,236689.515625,162548.0,1.0,2
244512.8125,260061.046875,253213.890625,264543.46875,231435.6875,261855.890625,236200.015625,236664.390625,162549.0,1.0,2
244471.046875,260019.640625,253190.734375,264525.5625,231418.171875,261834.0625,236196.265625,236641.5,162550.0,1.0,2
244458.453125,260032.25,253194.84375,264528.09375,231449.375,261855.4375,236221.46875,236660.375,162551.0,1.0,2
244481.25,260060.40625,253213.09375,264539.96875,231474.3125,261881.1875,236237.203125,236690.59375,162552.0,1.0,2
244512.546875,260070.421875,253221.3125,264544.0,231460.453125,261876.71875,236223.796875,236691.65625,162553.0,1.0,2
244508.34375,260052.1875,253207.09375,264534.34375,231426.484375,261846.40625,236201.71875,236666.0,162554.0,1.0,2
244476.421875,260030.015625,253193.78125,264526.90625,231418.078125,261835.40625,236207.078125,236651.96875,162555.0,1.0,2
244458.171875,260038.0625,253196.90625,264525.84375,231449.109375,261858.125,236226.296875,236671.28125,162556.0,1.0,2
244482.953125,260071.859375,253212.828125,264535.6875,231478.078125,261881.0,236236.765625,236698.375,162557.0,1.0,2
244518.703125,260089.46875,253221.9375,264541.9375,231468.0625,261878.59375,236222.1875,236698.375,162558.0,1.0,2
244516.734375,260065.421875,253209.6875,264533.1875,231430.515625,261848.203125,236199.828125,236667.96875,162559.0,1.0,2
244482.40625,260031.53125,253195.296875,264522.53125,231416.828125,261830.671875,236201.984375,236649.640625,162560.0,1.0,2
244471.046875,260044.5,253203.703125,264526.5625,231451.34375,261854.1875,236226.75,236673.515625,162561.0,1.0,2
244494.203125,260078.921875,253222.390625,264537.90625,231481.03125,261880.921875,236242.03125,236700.328125,162562.0,1.0,2
244523.171875,260090.640625,253230.875,264543.0,231467.171875,261877.25,236225.046875,236696.40625,162563.0,1.0,2
244518.0,260066.5,253218.28125,264532.375,231430.0625,261849.71875,236201.4375,236664.21875,162564.0,1.0,2
244482.765625,260035.734375,253202.265625,264524.3125,231416.65625,261835.953125,236203.765625,236643.65625,162565.0,1.0,2
244470.25,260051.203125,253213.8125,264532.71875,231454.46875,261868.140625,236234.796875,236670.203125,162566.0,1.0,2
